W WARNING: You specified different values for --load_checkpoint_dir and --save_checkpoint_dir, but you are running training and testing in a single invocation. The testing step will respect --load_checkpoint_dir, and thus WILL NOT TEST THE CHECKPOINT CREATED BY THE TRAINING STEP. Train and test in two separate invocations, specifying the correct --load_checkpoint_dir in both cases, or use the same location for loading and saving.
I Loading best validating checkpoint from pretrained/best_dev-732522
I Loading variable from checkpoint: beta1_power
I Loading variable from checkpoint: beta2_power
I Loading variable from checkpoint: cudnn_lstm/opaque_kernel
I Loading variable from checkpoint: cudnn_lstm/opaque_kernel/Adam
I Loading variable from checkpoint: cudnn_lstm/opaque_kernel/Adam_1
I Loading variable from checkpoint: global_step
I Loading variable from checkpoint: layer_1/bias
I Loading variable from checkpoint: layer_1/weights
I Loading variable from checkpoint: layer_2/bias
I Loading variable from checkpoint: layer_2/weights
I Loading variable from checkpoint: layer_3/bias
I Loading variable from checkpoint: layer_3/weights
I Loading variable from checkpoint: layer_5/bias
I Loading variable from checkpoint: layer_5/weights
I Initializing variable: layer_6/bias
I Initializing variable: layer_6/bias/Adam
I Initializing variable: layer_6/bias/Adam_1
I Initializing variable: layer_6/weights
I Initializing variable: layer_6/weights/Adam
I Initializing variable: layer_6/weights/Adam_1
I Initializing variable: learning_rate
I STARTING Optimization
Epoch 0 |   Training | Elapsed Time: 0:00:11 | Steps: 62 | Loss: 78.276186
Epoch 0 |   Training | Elapsed Time: 0:00:11 | Steps: 63 | Loss: 78.429585
Epoch 0 |   Training | Elapsed Time: 0:00:11 | Steps: 64 | Loss: 78.559969
Epoch 0 |   Training | Elapsed Time: 0:00:11 | Steps: 65 | Loss: 78.586899
Epoch 0 |   Training | Elapsed Time: 0:00:11 | Steps: 66 | Loss: 78.606727
Epoch 0 |   Training | Elapsed Time: 0:00:11 | Steps: 67 | Loss: 78.633238
Epoch 0 |   Training | Elapsed Time: 0:00:12 | Steps: 68 | Loss: 78.673031
Epoch 0 |   Training | Elapsed Time: 0:00:12 | Steps: 69 | Loss: 78.604252
Epoch 0 |   Training | Elapsed Time: 0:00:12 | Steps: 70 | Loss: 78.598855
Epoch 0 |   Training | Elapsed Time: 0:00:12 | Steps: 71 | Loss: 78.783007
Epoch 0 |   Training | Elapsed Time: 0:00:12 | Steps: 72 | Loss: 78.979712
Epoch 0 |   Training | Elapsed Time: 0:00:12 | Steps: 73 | Loss: 79.024670
Epoch 0 |   Training | Elapsed Time: 0:00:12 | Steps: 74 | Loss: 79.152419
Epoch 0 |   Training | Elapsed Time: 0:00:13 | Steps: 75 | Loss: 79.309599
Epoch 0 |   Training | Elapsed Time: 0:00:13 | Steps: 76 | Loss: 79.437770
Epoch 0 |   Training | Elapsed Time: 0:00:13 | Steps: 77 | Loss: 79.559925
Epoch 0 |   Training | Elapsed Time: 0:00:13 | Steps: 78 | Loss: 79.608489
Epoch 0 |   Training | Elapsed Time: 0:00:13 | Steps: 79 | Loss: 79.693305
Epoch 0 |   Training | Elapsed Time: 0:00:13 | Steps: 80 | Loss: 79.716533
Epoch 0 |   Training | Elapsed Time: 0:00:13 | Steps: 81 | Loss: 79.846730
Epoch 0 |   Training | Elapsed Time: 0:00:14 | Steps: 82 | Loss: 79.948034
Epoch 0 |   Training | Elapsed Time: 0:00:14 | Steps: 83 | Loss: 80.023712
Epoch 0 |   Training | Elapsed Time: 0:00:14 | Steps: 84 | Loss: 80.194485
Epoch 0 |   Training | Elapsed Time: 0:00:14 | Steps: 85 | Loss: 80.182559
Epoch 0 |   Training | Elapsed Time: 0:00:14 | Steps: 86 | Loss: 80.141728
Epoch 0 |   Training | Elapsed Time: 0:00:14 | Steps: 87 | Loss: 80.250679
Epoch 0 |   Training | Elapsed Time: 0:00:14 | Steps: 88 | Loss: 80.320383
Epoch 0 |   Training | Elapsed Time: 0:00:15 | Steps: 89 | Loss: 80.344362
Epoch 0 |   Training | Elapsed Time: 0:00:15 | Steps: 90 | Loss: 80.545716
Epoch 0 |   Training | Elapsed Time: 0:00:15 | Steps: 91 | Loss: 80.623485
Epoch 0 |   Training | Elapsed Time: 0:00:15 | Steps: 92 | Loss: 80.769620
Epoch 0 |   Training | Elapsed Time: 0:00:15 | Steps: 93 | Loss: 80.840785
Epoch 0 |   Training | Elapsed Time: 0:00:15 | Steps: 94 | Loss: 80.916740
Epoch 0 |   Training | Elapsed Time: 0:00:15 | Steps: 95 | Loss: 80.979316
Epoch 0 |   Training | Elapsed Time: 0:00:16 | Steps: 96 | Loss: 81.017630
Epoch 0 |   Training | Elapsed Time: 0:00:16 | Steps: 97 | Loss: 81.083558
Epoch 0 |   Training | Elapsed Time: 0:00:16 | Steps: 98 | Loss: 81.185639
Epoch 0 |   Training | Elapsed Time: 0:00:16 | Steps: 99 | Loss: 81.249662
Epoch 0 |   Training | Elapsed Time: 0:00:16 | Steps: 100 | Loss: 81.465397
Epoch 0 |   Training | Elapsed Time: 0:00:16 | Steps: 101 | Loss: 81.520471
Epoch 0 |   Training | Elapsed Time: 0:00:17 | Steps: 102 | Loss: 81.606180
Epoch 0 |   Training | Elapsed Time: 0:00:17 | Steps: 103 | Loss: 81.788201
Epoch 0 |   Training | Elapsed Time: 0:00:17 | Steps: 104 | Loss: 81.853132
Epoch 0 |   Training | Elapsed Time: 0:00:17 | Steps: 105 | Loss: 81.962777
Epoch 0 |   Training | Elapsed Time: 0:00:17 | Steps: 106 | Loss: 82.077121
Epoch 0 |   Training | Elapsed Time: 0:00:17 | Steps: 107 | Loss: 82.046900
Epoch 0 |   Training | Elapsed Time: 0:00:17 | Steps: 108 | Loss: 82.103071
Epoch 0 |   Training | Elapsed Time: 0:00:18 | Steps: 109 | Loss: 82.155716
Epoch 0 |   Training | Elapsed Time: 0:00:18 | Steps: 110 | Loss: 82.256292
Epoch 0 |   Training | Elapsed Time: 0:00:18 | Steps: 111 | Loss: 82.272458
Epoch 0 |   Training | Elapsed Time: 0:00:18 | Steps: 112 | Loss: 82.317232
Epoch 0 |   Training | Elapsed Time: 0:00:18 | Steps: 113 | Loss: 82.471362
Epoch 0 |   Training | Elapsed Time: 0:00:18 | Steps: 114 | Loss: 82.683972
Epoch 0 |   Training | Elapsed Time: 0:00:19 | Steps: 115 | Loss: 82.799299
Epoch 0 |   Training | Elapsed Time: 0:00:19 | Steps: 116 | Loss: 82.891479
Epoch 0 |   Training | Elapsed Time: 0:00:19 | Steps: 117 | Loss: 83.039051
Epoch 0 |   Training | Elapsed Time: 0:00:19 | Steps: 118 | Loss: 83.102605
Epoch 0 |   Training | Elapsed Time: 0:00:19 | Steps: 119 | Loss: 83.155502
Epoch 0 |   Training | Elapsed Time: 0:00:19 | Steps: 120 | Loss: 83.175932
Epoch 0 |   Training | Elapsed Time: 0:00:19 | Steps: 121 | Loss: 83.348297
Epoch 0 |   Training | Elapsed Time: 0:00:20 | Steps: 122 | Loss: 83.398010
Epoch 0 |   Training | Elapsed Time: 0:00:20 | Steps: 123 | Loss: 83.494561
Epoch 0 |   Training | Elapsed Time: 0:00:20 | Steps: 124 | Loss: 83.522174
Epoch 0 |   Training | Elapsed Time: 0:00:20 | Steps: 125 | Loss: 83.605494
Epoch 0 |   Training | Elapsed Time: 0:00:20 | Steps: 126 | Loss: 83.674937
Epoch 0 |   Training | Elapsed Time: 0:00:20 | Steps: 127 | Loss: 83.817612
Epoch 0 |   Training | Elapsed Time: 0:00:21 | Steps: 128 | Loss: 83.950687
